#ELSD# 2048 1024 texture2.pgm (width height input)
# FORMAT:
#   line <x1> <y1> <x2> <y2>
#   circle <cx> <cy> <rx> <ry> <angle_start> <angle_end>
#   eclipse <x> <y> <rx> <ry> <rotation> <angle_start> <angle_end>
line 975.993982 428.018924 984.723475 458.384173
line 1273.115869 481.060151 1288.161702 481.375857
line 1799.696063 393.924700 1812.357105 402.951995
line 735.590814 353.204335 759.710034 363.597491
line 1053.033414 495.610339 1050.239630 513.063312
line 1539.310611 457.251249 1559.385822 455.771851
line 1669.352201 866.188235 1681.962793 865.769601
line 989.305913 466.717075 1003.158628 467.593433
line 1571.968343 306.997841 1623.280512 311.247120
line 1741.687733 853.541883 1758.226020 849.824421
line 1549.337646 864.935867 1668.114460 867.385971
line 1683.049052 865.714795 1730.672284 862.597330
line 979.465928 434.634418 1001.891712 436.692938
line 820.548091 389.510069 768.002350 359.590401
line 1049.036389 501.854251 1049.871107 488.231995
line 1119.340019 451.932886 1129.487851 447.112576
line 710.783398 329.054613 804.990423 375.630203
line 935.938120 316.748721 945.575326 340.645033
line 1025.244740 840.462472 1136.994262 858.641894
line 1399.264424 468.346965 1412.990078 466.870621
line 1232.484060 384.512632 1249.009546 374.990746
line 1097.344928 447.760133 1115.826166 453.138199
line 994.462206 426.281609 987.625062 425.276805
line 826.312158 376.961496 754.330822 334.449802
line 1320.504870 431.303596 1333.576460 439.412284
line 1344.870006 441.577947 1364.710856 437.119675
line 1039.980664 515.799534 1041.295461 501.820492
line 1840.617514 824.429999 1906.831787 833.442482
line 948.129448 342.769849 996.887455 343.380457
line 760.753735 362.765600 772.394402 366.935233
line 761.004162 349.786372 719.716636 331.119373
line 1118.953123 494.430052 1116.046485 538.153020
line 1810.922778 395.894788 1804.764155 386.170176
line 740.433612 348.457923 719.060902 336.171381
line 756.914919 336.787764 709.598791 315.135946
line 735.210611 356.469698 753.997176 395.201963
line 925.585659 855.164675 1021.880135 846.935079
line 1136.711923 858.215484 1230.640518 864.128501
line 1731.770830 861.968237 1764.456032 859.024825
line 947.049540 334.304055 939.881460 316.669139
line 1113.123929 494.390509 1090.558891 492.832423
line 1424.356417 549.184459 1447.006704 546.975421
line 1114.010683 518.135891 1113.373789 496.830197
line 793.101608 854.419230 924.374989 855.626166
line 1828.112633 415.618789 1843.625556 431.363415
line 922.339971 561.920696 927.376286 510.674265
line 615.374882 829.654446 736.851272 849.520094
line 1143.142278 484.072333 1158.164680 484.929900
line 719.920092 347.238505 737.853541 382.014985
line 1835.007222 445.291950 1831.828819 463.116765
line 1467.931436 641.635276 1490.696763 638.677308
line 770.561794 364.490090 785.250504 372.556912
line 923.036272 526.865291 917.150445 580.655140
line 1765.450964 859.508230 1841.794888 847.610926
line 815.948127 380.040615 760.063700 349.140127
line 1842.287575 845.626875 1842.242771 825.621377
line 737.961862 848.784666 791.958508 853.397475
line 1109.700823 555.768085 1113.118865 518.124443
line 1116.603244 551.699033 1114.201973 589.522730
line 1449.667718 701.192824 1381.792263 672.067817
line 988.001441 520.391251 1013.086557 523.441185
line 2009.321481 399.072785 1873.136438 423.189589
line 506.838869 830.249522 577.150087 823.483770
line 897.899782 571.983202 902.798153 525.590490
line 1450.405969 853.831393 1545.750298 864.505833
line 1231.868387 864.073267 1326.904924 861.990279
line 323.109329 494.706987 528.065683 504.381632
line 1206.437131 564.352155 1207.022474 553.132694
line 1484.511538 711.431390 1464.133597 705.159317
line 904.353688 523.870563 921.875102 524.371424
line 1044.541287 553.031174 1047.352735 520.558139
line 977.440841 599.300001 972.642424 643.072099
line 356.873970 438.076263 436.891066 436.385247
line 1637.957511 312.048111 1663.363556 278.606590
line 995.913044 534.548893 997.200483 523.161799
line 856.143284 588.459145 863.251608 524.250633
line 1462.367222 704.356996 1450.583952 700.759446
line 1832.464521 464.361513 1833.380497 504.397753
line 766.756237 359.694105 752.635994 354.438917
line 1578.948884 501.813723 1615.985088 476.144545
line 935.330209 555.719537 939.421619 514.379614
line 1784.305941 395.416012 1791.812393 392.935538
line 1506.898515 566.500670 1526.898116 567.757021
line 973.705646 681.187033 977.515150 691.323942
line 1811.602776 408.024957 1821.338744 503.179868
line 906.023918 526.917683 901.471455 569.465568
line 1191.657543 381.285239 1206.675252 386.231474
line 1444.608752 634.797231 1467.585470 641.285594
line 1794.081198 385.873804 1807.754206 381.861439
line 1775.411839 397.573102 1783.446115 394.470007
line 1067.036581 497.088410 1055.672997 495.317082
line 929.924904 511.926644 927.808452 534.462664
line 1110.643978 499.566082 1089.356010 499.184555
line 864.352461 522.715781 895.613505 523.553797
line 1749.207351 847.491649 1739.243717 850.129035
line 896.903041 525.500270 891.913811 574.378962
line 1116.691183 538.115641 1116.593167 553.131320
line 1053.420259 554.384586 1053.825662 541.897748
line 1670.621177 830.618872 1646.451029 845.698948
line 1108.514783 433.396779 1102.418569 446.547524
line 1471.883405 628.170858 1445.599913 632.988124
line 1421.972314 849.662395 1449.569374 852.452301
line 1218.532223 543.196194 1219.065310 549.506755
line 1586.051993 828.426619 1592.993773 822.402523
line 903.116406 646.874052 908.093572 601.733710
line 1305.675121 676.419822 1219.452683 681.856913
line 1191.908212 570.715731 1203.184767 571.038792
line 355.532750 473.129326 355.658887 439.375127
line 725.030251 699.450650 729.795786 658.173581
line 1328.132505 861.943509 1422.123889 851.646966
line 832.667593 401.821620 824.795341 469.278178
line 1119.950920 440.283283 1112.780448 436.235334
line 1842.974040 431.799329 1836.209338 445.294496
line 1014.055904 524.299769 1013.033663 545.620621
line 1926.875957 692.106842 2045.634253 691.616655
line 1646.694784 845.613533 1670.596132 865.883015
line 1736.552465 414.949664 1760.798097 403.370141
line 325.589627 620.651041 323.080933 496.825243
line 941.640607 514.351899 937.566204 555.693122
line 1123.562006 443.539125 1121.365608 437.516651
line 1812.675666 369.843806 1824.123627 372.836558
line 434.397679 475.312967 356.877723 474.187459
line 838.898094 396.821899 830.389543 473.237964
line 965.725874 530.655495 969.502267 518.163473
line 1824.190753 376.715206 1825.739588 387.045238
line 966.930373 597.785451 932.042794 592.096076
line 0.584486 690.294661 56.907134 683.387009
line 701.011706 705.851190 703.648070 686.774539
line 1112.298540 452.388332 1119.428410 449.088580
line 1016.872099 520.656173 985.544433 517.740729
line 704.295924 681.863881 706.929783 663.132703
line 2018.620942 795.181843 2008.989114 816.024328
line 1715.382014 426.393197 1725.364617 421.358701
line 1044.178996 569.426726 1039.844210 553.001173
line 1831.797098 503.016698 1822.550685 402.947067
line 741.060927 655.532369 736.503696 695.582750
line 731.194895 331.981094 785.236547 358.904712
line 804.925037 376.749849 837.885325 397.260160
line 1060.567672 607.795116 1074.387968 607.515143
line 1766.783556 854.205496 1797.855625 837.442720
line 1725.248744 422.378354 1736.732155 416.591537
line 1490.366449 575.511362 1493.736287 567.844273
line 910.730429 587.919219 913.716155 553.175802
line 1251.042289 574.211738 1247.127407 594.179411
line 1775.264687 393.372084 1792.752867 387.089183
line -0.140617 815.442211 4.081783 797.756561
line 1623.432814 311.696482 1635.769885 313.114252
line 718.261474 335.170794 630.772714 308.883385
line 950.576997 516.869925 946.875918 551.875097
line 1045.655578 593.110880 1051.511617 605.792797
line 969.185890 533.125865 980.738822 531.376833
line 1050.982883 543.149190 1048.863158 574.509385
line 2045.694331 797.021436 2019.312864 795.364033
line 808.306522 464.923764 795.378508 461.577220
line 1013.568478 568.051346 1017.788245 521.844247
line 1161.929167 570.002016 1175.683867 571.197958
line 1933.149103 570.272972 1941.943461 570.875103
circle 973.529379 318.264945 -8.052817 -8.052817 0.000000 3.493201 9.478487
line 832.032051 397.900245 820.951601 390.157603
line 1154.336405 584.689689 1175.875642 587.331351
line 579.355690 822.356650 591.879195 822.041917
line 751.759030 354.728436 744.617737 352.385223
line 1051.767389 516.774565 1050.091511 539.428007
line 27.614411 584.566373 7.178470 530.042746
line 1153.522975 574.628319 1157.204857 550.675704
line 1111.398250 606.338030 1099.872178 598.631416
line 1216.152464 396.219438 1233.169786 383.771779
line 1448.125073 553.971137 1418.124847 553.965694
line 1911.711546 799.156901 1881.866383 794.429400
line 981.872208 527.187026 969.372319 527.224227
line 1011.911125 536.555379 996.005590 534.757669
line 867.441829 525.686671 861.320321 581.950651
line 1524.277892 562.389141 1540.736144 560.217227
line 893.504024 575.338526 863.265953 587.233320
line 972.640980 667.075277 977.788039 679.514428
line 1493.244797 712.537136 1483.376238 710.526083
line 945.075258 551.941030 948.390532 516.782170
line 1962.200240 559.466659 1949.374224 550.626126
line 1091.904151 584.703738 1074.430708 586.253216
line 41.381821 618.338332 28.480035 588.512131
line 350.174371 623.562128 450.685142 638.983001
line 1183.733434 623.037064 1181.164765 641.777652
line 1763.142296 400.677538 1775.519898 396.602751
line 1056.699283 487.414194 1066.952993 486.495312
line 956.715226 512.415541 1020.514929 518.108538
line 1037.128075 600.699388 1042.598753 582.087739
line 794.848336 461.193208 781.900560 458.020685
line 1290.661892 520.041882 1310.669811 518.935030
line 1484.379848 562.090735 1500.733954 561.723207
